name,address,neighborhood,lat,lon,category,Distance
Jolene's Bar,"2700 16th St, San Francisco, CA 94103",Inner Mission,37.765554,-122.413429,Club,2613.47
F8 1192 Folsom,"1192 Folsom St (8th), San Francisco, CA 94103",Civic Center,37.775283,-122.409986,Club,1510.56
DNA Lounge,"375 11th St (at Harrison St), San Francisco, CA 94103",Civic Center,37.771002,-122.412675,Club,2040.96
Audio Nightclub,"316 11th St (btwn Folsom & Harrison), San Francisco, CA 94103",Civic Center,37.771462,-122.413921,Club,2052.52
Bootie San Francisco,"375 11th St (at Harrison St), San Francisco, CA 94103",Civic Center,37.771002,-122.412675,Club,2040.96
Breakfast of Champions,"817 Terry A Francois Blvd (between Illinois St & Mariposa St), San Francisco, CA 94158",Inner Mission,37.767936,-122.406617,Club,2176.4
1015 Folsom,"1015 Folsom St (at 6th St), San Francisco, CA 94103",South Of Market,37.778128,-122.405784,Club,1066.45
Enjoy Vegetarian Restaurant,"839 Kearny St (at Washington St.), San Francisco, CA 94108",Chinatown,37.795717,-122.405173,Vegan restaurant,1005.99
Golden Era Vegan Restaurant,"395 Golden Gate Ave, San Francisco, CA 94102",Civic Center,37.781359,-122.416942,Vegan restaurant,1500.46
Thai Idea Vegetarian Restaurant,"710 Polk St (at Eddy St), San Francisco, CA 94109",Civic Center,37.783391,-122.418998,Vegan restaurant,1593.07
Chisme Cantina,"882 Sutter St (Leavenworth St), San Francisco, CA 94109",Little Saigon,37.788531,-122.415,Vegan restaurant,1196.21
The Lucky Creation Vegetarian Restaurant,"854 Washington St (btwn Stockton & Ross), San Francisco, CA 94108",Chinatown,37.795174,-122.407148,Vegan restaurant,1020.99
Mensho Tokyo,"676 Geary St (at Leavenworth St), San Francisco, CA 94102",Tenderloin,37.786727,-122.414249,Vegan restaurant,1120.73
Asha Tea House,"17 Kearny St (Market Street), San Francisco, CA 94108",Financial District,37.788248,-122.403728,Vegan restaurant,229.82
DragonEats,"555 Folsom St (at Essex St), San Francisco, CA 94105",Rincon Hill,37.786473,-122.395307,Vegan restaurant,553.43
Darwin Cafe,"212 Ritch St (at Bryant St), San Francisco, CA 94107",South Beach,37.780651,-122.396255,Vegan restaurant,856.03
Delarosa,"37 Yerba Buena Ln (Market St.), San Francisco, CA 94103",Civic Center,37.785619,-122.404362,Vegan restaurant,299.88
Chase Center Stadium,"1 Warriors Way, San Francisco, CA 94158",Mission Bay,37.767935,-122.387335,Basketball arena,2470.21
Bernie's Grooming City Dogs,"177 Brannan St (Delancey St), San Francisco, CA 94107",Mission Bay,37.783824,-122.389344,Pet hairdresser,1134.74
Nova Express Personal Grooming Services,"21 Columbus Ave (Washington), San Francisco, CA 94111",Chinatown,37.795567,-122.40348,Pet hairdresser,952.49
Via V'dell Executive Grooming Barber Shop,"166 Geary St, San Francisco, CA 94108",Chinatown,37.787749,-122.405993,Pet hairdresser,398.67
Details Barbershop and Grooming Lounge,"166 Geary St, San Francisco, CA 94108",Chinatown,37.787879,-122.406001,Pet hairdresser,402.12
Tae Hee's Grooming Pet Supply,"580 Bush St, San Francisco, CA 94108",Chinatown,37.790556,-122.406876,Pet hairdresser,605.19
San Francisco International Airport (SFO),"at Link Rd, San Francisco, CA 94128",S,37.624123,-122.395506,Airport,18099.59
Oakland International Airport (OAK),"1 Airport Dr, Oakland, CA 94621",O,37.7117,-122.212997,Airport,18605.79
